Cue,Answer,cue_height,cue_width,btn_width,instruct_1,responses_1,instruct_2,responses_2,instruct_3,responses_3,
AF_BW_JPEG/AF01_BW/AF01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF02_BW/AF02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF03_BW/AF03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF05_BW/AF05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF06_BW/AF06_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF07_BW/AF07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF08_BW/AF08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF09_BW/AF09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF10_BW/AF10_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF11_BW/AF11_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AF_BW_JPEG/AF12_BW/AF12_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM01_BW/AM01_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM02_BW/AM02_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM03_BW/AM03_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM04_BW/AM04_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM05_BW/AM05_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM06_BW/AM6_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM07_BW/AM07_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM08_BW/AM08_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
AM_BW_JPEG/AM09_BW/AM09_CC.jpg,Apple,600px,600px,150px,What ethnicity does this look most like to you?,African|Caucasian|East Asian|South Asian|Other,How Confident are you in this judgement?,1 - least confident|2|3|4|5|6|7 - most confident,,,
